season,date,away_team,away_point_spread,away_money_line,away_money_line
2019-20,1/10/20,IND,1,-105,-105
2019-20,1/10/20,LAL,2.5,115,115
2019-20,1/10/20,CHO,12,600,600
2019-20,1/10/20,ORL,4,145,145
2019-20,1/10/20,MIL,-9.5,-500,-500
2019-20,1/10/20,GSW,14.5,850,850
2019-20,1/11/20,MIN,10,400,400
2019-20,1/11/20,ORL,11.5,550,550
2019-20,1/11/20,CHI,4,145,145
2019-20,1/11/20,LAL,8.5,300,300
2019-20,1/11/20,PHI,2.5,130,130
2019-20,1/11/20,CLE,12.5,650,650
2019-20,1/11/20,MIL,-7.5,-350,-350
2019-20,1/12/20,MIA,-7.5,-340,-340
2019-20,1/12/20,UTA,-6,-380,-380
2019-20,1/12/20,ATL,9,192,192
2019-20,1/12/20,GSW,6.5,215,215
2019-20,1/12/20,SAS,5,140,140
2019-20,1/12/20,LAC,0,-105,-105
2019-20,1/12/20,CHO,8.5,281,281
2019-20,1/13/20,PHI,3.5,110,110
2019-20,1/13/20,ORL,-5,-112,-112
2019-20,1/13/20,CHI,9.5,384,384
2019-20,1/13/20,OKC,-2.5,-140,-140
2019-20,1/13/20,CHO,9.5,400,400
2019-20,1/13/20,ORL,1,117,117
2019-20,1/13/20,CLE,14,876,876
2019-20,1/14/20,PHX,-1.5,-200,-200
2019-20,1/14/20,UTA,-3,-135,-135
2019-20,1/14/20,HOU,-4.5,-180,-180
2019-20,1/14/20,NYK,16.5,1150,1150
2019-20,1/14/20,CLE,16,912,912
2019-20,1/14/20,DAL,-8,-340,-340
